,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_model unconvolved_low_2sig,lya_model unconvolved_low_1sig,lya_model unconvolved_median,lya_model unconvolved_high_1sig,lya_model unconvolved_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_intrinsic unconvolved_low_2sig,lya_intrinsic unconvolved_low_1sig,lya_intrinsic unconvolved_median,lya_intrinsic unconvolved_high_1sig,lya_intrinsic unconvolved_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_ism unconvolved_low_2sig,lya_ism unconvolved_low_1sig,lya_ism unconvolved_median,lya_ism unconvolved_high_1sig,lya_ism unconvolved_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_reversal unconvolved_low_2sig,lya_reversal unconvolved_low_1sig,lya_reversal unconvolved_median,lya_reversal unconvolved_high_1sig,lya_reversal unconvolved_high_2sig,lya_model unconvolved_fluxes,vs value,am value,fw_L value,fw_G value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,d2h value,p value,wave_lya,flux_lya,error_lya,data_mask_lya
10,3.901216674101575e-19,4.828453395039159e-19,5.774519422708773e-19,6.813587337027355e-19,8.009780587423765e-19,4.9117114981035385e-19,6.054596554343237e-19,7.223273226648233e-19,8.515088264616478e-19,1.0018299160185623e-18,3.103464283984527e-18,4.1521290812979566e-18,5.240622340147761e-18,6.511493352969551e-18,8.465766649522086e-18,1.2556267286551225e-18,1.5312926738795454e-18,1.8483805068519106e-18,2.2221200922378697e-18,2.7853066423841052e-18,0.29350731844227484,0.33240496849608886,0.36936743817307505,0.4074656793316984,0.4506719731144704,0.2968990194002715,0.3450410549909347,0.38995511347837697,0.43604951054958474,0.4871779828163277,0.9964113526050138,0.997163124699873,0.9975804488286922,0.9978451572605664,0.9980264162762079,0.9994788709820329,0.9996595240580716,0.9997518159538763,0.9998244963800397,0.9998969179968283,,,,,,,,,,,,,,1215.073690755936,2.2883504111402812e-15,9.789237737233827e-16,0.0
11,3.4441618984211355e-19,4.370183354814388e-19,5.29886854791043e-19,6.295311910086057e-19,7.407659373426405e-19,4.472503787970118e-19,5.699701248455854e-19,6.906149083801187e-19,8.193314780856433e-19,9.642420434829038e-19,4.727279675897158e-18,6.720112792518766e-18,8.642288357775204e-18,1.0953874605340161e-17,1.4746901370828296e-17,1.4893694265138634e-18,1.8176116601199983e-18,2.19541619169907e-18,2.6392781353447024e-18,3.3068482903014202e-18,0.22991102399092533,0.26843123441091127,0.3054586914784555,0.3436932486125,0.3871507517089396,0.21698299912641564,0.2670040461106719,0.3138850381752263,0.3620727010358198,0.41644199571141627,0.9955240783882634,0.9970036434563035,0.9977451387593514,0.9981966698515966,0.9984922743290421,0.9993791975196759,0.9995954478160382,0.9997054239525374,0.999791615668356,0.9998774660373477,,,,,,,,,,,,,,1215.1271754673683,1.5560354625937693e-15,1.5361102446430219e-15,0.0
12,2.6118639538156257e-19,3.5844924659603706e-19,4.498045900351981e-19,5.450276442252049e-19,6.458080555301167e-19,2.204117968987522e-19,4.56424615623002e-19,6.030544322013217e-19,7.360821818154425e-19,8.763972474645868e-19,7.38396497315037e-18,1.1364070224787428e-17,1.5333881959476626e-17,2.065280502826861e-17,2.910102866292991e-17,1.796923357600343e-18,2.193988451931095e-18,2.649866021888926e-18,3.18551523233413e-18,3.999926686178154e-18,0.16126364797406154,0.20044747529273665,0.23694936006589445,0.2747242408867987,0.3178388964307513,0.08071483359093591,0.17179257421762623,0.22812150704695444,0.27852587916316424,0.33550635513911004,0.9918580864593265,0.9952351021119774,0.9969402593545493,0.9978157412238913,0.9983200945200923,0.9992495708514617,0.9995113294707184,0.9996447719443551,0.9997485849870411,0.9998520290834837,,,,,,,,,,,,,,1215.1806601788005,3.854246722433466e-15,1.2449811773396022e-15,0.0
13,1.690806088989743e-19,2.349447452639536e-19,3.160682625576026e-19,4.1446060589048355e-19,5.088603892639581e-19,4.560802975343075e-22,1.8680939110220033e-20,1.9741322211585369e-19,4.907122835885538e-19,6.88972515131517e-19,1.2865376001809892e-17,2.2797336425910196e-17,3.400854097264559e-17,4.6008538733885765e-17,6.110849180966749e-17,2.2073250600892553e-18,2.7006328310710294e-18,3.2618816948635027e-18,3.926092731897892e-18,4.929048512069416e-18,0.10539717661129772,0.12957302306125468,0.16081790431542922,0.19999292509307773,0.24239387960527684,0.00013002053773736687,0.005401550574108451,0.059823363548603875,0.15958109948932925,0.23274699960168002,0.9836673488371952,0.9895688189189846,0.9936861457396597,0.9960927617872705,0.9970697641377936,0.9990733604007527,0.9993975586811313,0.9995628590326927,0.999690541680643,0.9998177400590929,,,,,,,,,,,,,,1215.2341448902328,5.560839081630227e-15,8.224238700981994e-16,0.0
14,1.1995612736367895e-19,1.6203761276039854e-19,2.0924791739835324e-19,2.6632712068565965e-19,3.3425399288068917e-19,2.388462660564015e-23,1.626059511322585e-22,8.802030585312463e-22,9.369575799767883e-21,1.4320799045621002e-19,3.0114067909362627e-17,5.281186573579488e-17,6.995894045576823e-17,8.88326268748465e-17,1.2012832740492717e-16,2.7814431910696134e-18,3.407293134707189e-18,4.116283308610633e-18,4.9580932980950094e-18,6.2323132969219686e-18,0.07214284406609764,0.08817493248181955,0.10672115257089689,0.12911308827335927,0.15962175099624354,5.460715443580578e-06,3.756302338243512e-05,0.0002093825134825625,0.0024115647150523083,0.039262615427938824,0.9713778768795794,0.9794859667836865,0.9851970935393936,0.9887753537290315,0.9905932960455848,0.998818499279005,0.9992378967731669,0.9994487728562664,0.999609965344194,0.9997698740666282,,,,,,,,,,,,,,1215.287629601665,1.876644360819275e-15,1.4671735096349792e-15,0.0
15,8.933890862081293e-20,1.1941353155793136e-19,1.5172674071173777e-19,1.8964136883657388e-19,2.312205214950696e-19,6.893575827389858e-23,1.069951028941342e-21,9.961166959520561e-21,3.518536871715222e-20,7.289298861065955e-20,4.909183440763013e-17,8.639321870897172e-17,1.1173017032457158e-16,1.3893237135163133e-16,1.8112256203170826e-16,3.6139981245906e-18,4.43170705127099e-18,5.3620087120543325e-18,6.465804403103661e-18,8.131593156228617e-18,0.04937164850905684,0.06093813944137268,0.07371098515771286,0.08874951025521705,0.10803836418852175,1.347097790206975e-05,0.00020666616200068098,0.0018311850742558635,0.006414389136513215,0.014012588689433758,0.9559544716830407,0.9673982221192672,0.975829489127194,0.9827477607469371,0.9869004061533377,0.9984379341728872,0.9990040765231979,0.9992834394266439,0.9994929318963178,0.99970050368675,,,,,,,,,,,,,,1215.3411143130973,3.0804670341243946e-15,2.674980558562242e-16,0.0
16,6.841281173725492e-20,8.877846638370809e-20,1.1221759454196998e-19,1.4140528423952576e-19,1.7329664516562408e-19,4.1045982568999456e-93,1.0109938239708187e-24,9.486916438911844e-21,3.579734824191117e-20,7.377536241633228e-20,6.598846265417944e-17,1.1894414747158516e-16,1.53660617646841e-16,1.9062059947566584e-16,2.472458828341999e-16,4.8991444421922484e-18,6.015118501713872e-18,7.28629266971899e-18,8.805156459723343e-18,1.1106149404768332e-17,0.03287365935369675,0.041090501172893264,0.05034047763904455,0.06153522889089846,0.07565357171445963,4.616431255166281e-76,1.3044630769950017e-07,0.0012877596618966214,0.005149553871708455,0.011380618352321894,0.938110574308945,0.9546379386264389,0.9671834714291323,0.9768492069663383,0.9824496511103711,0.9978011850939498,0.9986387712570333,0.9990293966436645,0.9993146429459898,0.9995942136025114,,,,,,,,,,,,,,1215.3945990245295,6.199070924771556e-17,9.208676014494425e-16,0.0
17,5.588909519019406e-20,7.053223181745643e-20,8.687562881725437e-20,1.0799719183162231e-19,1.3318432532461096e-19,0.0,0.0,3.9267275728332157e-50,1.2375757752108828e-22,1.2072627277731648e-20,8.86106818122393e-17,1.5944736783278616e-16,2.0544895498478017e-16,2.5460554681627944e-16,3.309089784096252e-16,6.998181982228119e-18,8.644914026044009e-18,1.0510248545941191e-17,1.2803183886120765e-17,1.658340005164602e-17,0.02146447300273624,0.027061247763942052,0.033542357707956987,0.04141154282682935,0.05146492914467802,0.0,0.0,3.5757586364742054e-33,1.2191724575310827e-05,0.001254559751195852,0.9170714864303867,0.9393791251252775,0.9559138262818443,0.9686978467623423,0.9761134270832539,0.9963796619692535,0.9980171038923564,0.9986093688134581,0.999021511521757,0.9994189645358686,,,,,,,,,,,,,,1215.4480837359617,-5.251875649609915e-15,2.674980558562242e-16,0.0
18,4.9307814977119956e-20,6.158826223350067e-20,7.587843205495578e-20,9.725947398000231e-20,1.3761099672468473e-19,0.0,0.0,0.0,2.2199879636505786e-289,7.247450929047726e-29,1.1617018126268963e-16,2.0997388816457807e-16,2.7055276521785244e-16,3.3537078055736353e-16,4.354779313382914e-16,1.0846116054127558e-17,1.3522365433508899e-17,1.6625792003495425e-17,2.0920129653192585e-17,3.2889731999097233e-17,0.014401100517925362,0.017946192678848748,0.022217783201816915,0.02755037914588264,0.03449091992567164,0.0,0.0,0.0,1.382442190710964e-272,4.284067762022279e-12,0.8890419266830871,0.9201131016806435,0.9420246399732463,0.9590631157802023,0.9689930914199326,0.9911485343095205,0.9967510114131544,0.9978325228716814,0.9984857482212975,0.9990975302488027,,,,,,,,,,,,,,1215.501568447394,-4.480002035318609e-15,2.674980558562242e-16,0.0
19,4.6767199834466323e-20,6.034922522747164e-20,7.872382459398613e-20,1.126641911906668e-19,1.74521978983793e-19,0.0,0.0,0.0,0.0,0.0,1.5039282709526882e-16,2.7720791252811673e-16,3.6112699497543503e-16,4.512283564418944e-16,5.889634155162108e-16,1.8893642066610528e-17,2.4235040853796893e-17,3.101391286603659e-17,4.6964474557622907e-17,1.8103543556147055e-16,0.010923278614379445,0.013054840008765795,0.01569777963118088,0.019067143160722052,0.0236334460086416,0.0,0.0,0.0,0.0,0.0,0.8441276156923258,0.892557448520246,0.9240243844760356,0.9469552647798268,0.9600595578480493,0.9571595653878698,0.9919467167009439,0.9960761793964623,0.9973425988856582,0.9984075405156035,,,,,,,,,,,,,,1215.5550531588262,-1.302976870475184e-15,6.766375921937493e-15,0.0
