,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_model unconvolved_low_2sig,lya_model unconvolved_low_1sig,lya_model unconvolved_median,lya_model unconvolved_high_1sig,lya_model unconvolved_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_intrinsic unconvolved_low_2sig,lya_intrinsic unconvolved_low_1sig,lya_intrinsic unconvolved_median,lya_intrinsic unconvolved_high_1sig,lya_intrinsic unconvolved_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_ism unconvolved_low_2sig,lya_ism unconvolved_low_1sig,lya_ism unconvolved_median,lya_ism unconvolved_high_1sig,lya_ism unconvolved_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_reversal unconvolved_low_2sig,lya_reversal unconvolved_low_1sig,lya_reversal unconvolved_median,lya_reversal unconvolved_high_1sig,lya_reversal unconvolved_high_2sig,lya_model unconvolved_fluxes,vs value,am value,fw_L value,fw_G value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,d2h value,p value,wave_lya,flux_lya,error_lya,data_mask_lya
10,4.75957451164055e-19,1.3211218249883317e-18,2.0521686753019635e-18,2.8673870759789193e-18,3.794617972391155e-18,5.308572749717442e-19,1.4552419781560972e-18,2.271094776364623e-18,3.2092222231449667e-18,4.3096353871961186e-18,1.2075736983884613e-18,2.5395770922393656e-18,4.0534408474166205e-18,6.027989270998656e-18,9.139777681977205e-18,9.085486325707988e-19,2.5062796120796536e-18,4.066534609087174e-18,6.1037930318092284e-18,9.329186097409454e-18,0.3301761148753939,0.4195205549313974,0.5097516052991047,0.5977536920102099,0.6962262925193888,0.3445398132307894,0.454987277624885,0.5632104466814469,0.6637587460411226,0.7689732956122793,0.22318834259337658,0.26495976421582695,0.3147263335495297,0.40530718662046866,0.9277411936313603,0.22008308877039245,0.26125501732256684,0.3095414278863473,0.3971524308341607,0.9734382222161937,,,,,,,,,,,,,,1215.073690755936,2.3642966990093343e-15,9.789237737233827e-16,0.0
11,4.604288232416159e-19,1.1458461892027844e-18,1.7845441859075143e-18,2.4940911113358806e-18,3.3113868270196124e-18,5.259899164615935e-19,1.2747703100029969e-18,1.9827967541229565e-18,2.8005280284935535e-18,3.786202557950564e-18,1.285247415200556e-18,2.56673940414782e-18,4.071343880896321e-18,6.095053270828203e-18,9.363963754170104e-18,1.0365619233588757e-18,2.525368326731992e-18,4.0723657136664e-18,6.14253857137038e-18,9.532608584218719e-18,0.2633516995226956,0.35094398992374815,0.4428292465237763,0.5348654796188305,0.6418382975280436,0.2616476935512255,0.3774935125411138,0.4944851525927092,0.6060766062739901,0.7253057569298633,0.21737545620881826,0.2573260991344639,0.3042869573167364,0.3867283682005509,0.9003920169919433,0.21415543237197415,0.2530981601002828,0.29883010673580157,0.3785488627257649,0.954658204330371,,,,,,,,,,,,,,1215.1271754673683,1.6321389515638703e-15,1.5361102446430219e-15,0.0
12,3.965008062183385e-19,9.327090487038223e-19,1.4668170314377564e-18,2.0532867275723413e-18,2.7570290487733863e-18,2.3143790943213784e-19,9.157693943839095e-19,1.5853061101643273e-18,2.2840434727964305e-18,3.1739858433161367e-18,1.35483504582757e-18,2.586688589843215e-18,4.088296216800284e-18,6.158135747750597e-18,9.61530769222668e-18,1.1210871928248844e-18,2.5342407078122982e-18,4.0752542283069936e-18,6.177761101902875e-18,9.754839717985265e-18,0.18731406929926714,0.2719652431869632,0.36415970078317317,0.46033766787227204,0.573796180180388,0.08705672322606774,0.26361932081507417,0.40331673302246157,0.5304903236998589,0.6682996930957599,0.21184227047450993,0.24993998711363824,0.29454964132280353,0.3698130688112097,0.8630202256530768,0.2084733228436636,0.24556380814562329,0.28884291649367855,0.3604020584699898,0.9227782763051423,,,,,,,,,,,,,,1215.1806601788005,3.930507412504613e-15,1.2449811773396022e-15,0.0
13,2.8764853469472616e-19,6.689975707994886e-19,1.0815611314297907e-18,1.5655438935795225e-18,2.1702110326782e-18,2.3268922746638753e-21,8.998440993555877e-20,8.401267613486994e-19,1.604914921717647e-18,2.446460427081443e-18,1.4130649181099562e-18,2.602600715548614e-18,4.098667600364009e-18,6.204143666684275e-18,9.986753983555228e-18,1.1874327171058584e-18,2.543279425622325e-18,4.0697132127782816e-18,6.201333949237667e-18,1.0081482007418672e-17,0.12285544940170581,0.1829583070545891,0.26835176814372624,0.3686358119860293,0.49066097855916374,0.000498696397986508,0.022649740834337566,0.2268606410104912,0.41129599127782845,0.5838809483474536,0.20679108819403783,0.24317185529688906,0.2855549723773011,0.35421364037127306,0.8158182039821992,0.20332927415579713,0.23854312730813315,0.2796157916325226,0.3448964099555708,0.8724950717320387,,,,,,,,,,,,,,1215.2341448902328,5.637256972802423e-15,8.224238700981994e-16,0.0
14,2.0910181191917874e-19,4.655627297063108e-19,7.405722634315891e-19,1.0781120081800831e-18,1.525482951616512e-18,3.466509827391086e-22,5.6598247633742274e-21,5.932553823714108e-20,5.455548874954109e-19,1.3902994535386864e-18,1.450905584612343e-18,2.6172628158653366e-18,4.097269740476656e-18,6.2691782850553015e-18,1.0435942482260845e-17,1.2429071957320804e-18,2.5519045705744887e-18,4.0675412555002915e-18,6.2291816381687885e-18,1.051732553830223e-17,0.08466085508954191,0.1248819975089543,0.17963558481963138,0.2591393917291193,0.3859275689207517,6.886054838053589e-05,0.0012701035388440324,0.015327144420441531,0.15771450411499235,0.4198098727038067,0.20207314774040477,0.23672588021090396,0.2772256924310742,0.3403233060886792,0.7566124054048443,0.19864029608694123,0.23199968630615692,0.27122605317247794,0.3311163267732551,0.8047760282806264,,,,,,,,,,,,,,1215.287629601665,1.9532194530925193e-15,1.4671735096349792e-15,0.0
15,1.5407889903517432e-19,3.35540360021854e-19,5.294985695322646e-19,7.603036472796792e-19,1.0429897410867307e-18,1.333534493906255e-22,5.42685851371299e-21,5.476550198947074e-20,2.2669110977689627e-19,5.377504304367092e-19,1.4642438605845434e-18,2.6181679859351735e-18,4.092050533468942e-18,6.3124576574532394e-18,1.1039317293761438e-17,1.3049306730839976e-18,2.5586521663740602e-18,4.0547046250881305e-18,6.2393111350869954e-18,1.1083648785164383e-17,0.05833585307025953,0.08819495216467262,0.12822415694203512,0.18314037113108553,0.27664819153300035,2.8723837988564708e-05,0.0012627500952842505,0.0133926944858112,0.0626890196823413,0.18634853467209017,0.1977587002229228,0.23087317134942323,0.26965321109465734,0.32800645926547134,0.6913579848371374,0.19415954396189408,0.22592511105558502,0.263733268456647,0.3192965114307293,0.717631341190981,,,,,,,,,,,,,,1215.3411143130973,3.157199327498685e-15,3.314900339282085e-17,0.0
16,1.127438548479378e-19,2.3459531798183205e-19,3.774710368978059e-19,5.512658406330462e-19,7.771704958471934e-19,1.579117712174796e-121,3.000380286505578e-22,5.617992750510977e-20,2.1207784743503082e-19,5.01450631237563e-19,1.4663726487823332e-18,2.6185572161555335e-18,4.081171475111258e-18,6.3337908687250766e-18,1.197060003583304e-17,1.3413032704070519e-18,2.5604668979465456e-18,4.041490338171577e-18,6.255488166338419e-18,1.1867796975938585e-17,0.03919731143739483,0.06040166032619673,0.09092014470223231,0.13518788346319374,0.21075971411202088,1.749852276250534e-104,6.893332516592252e-05,0.013897085028276555,0.05912719895816326,0.159686796335938,0.19381604559321966,0.22535258478579837,0.26303514377769366,0.31773252554068876,0.6195862067918442,0.1899945995357421,0.22049953357919694,0.2570800428244422,0.308941844455205,0.6178955041201188,,,,,,,,,,,,,,1215.3945990245295,1.3888020372305408e-16,9.208676014494425e-16,0.0
17,8.075854111516204e-20,1.6172638499132654e-19,2.5956371766123414e-19,3.838205705837142e-19,5.579045265178162e-19,0.0,6.1702002583743895e-226,1.1942865609803698e-24,4.9997673102442126e-20,2.754056407781944e-19,1.4596269419706968e-18,2.6111035988903256e-18,4.072023357148383e-18,6.349892348614232e-18,1.2818780272797725e-17,1.3740017311403288e-18,2.562056915087589e-18,4.0318708795121105e-18,6.2582134579281096e-18,1.2678803252346232e-17,0.02612741837438208,0.04109669588814208,0.062209363546788715,0.09383522073637805,0.1556053593169021,0.0,9.83262586057451e-209,2.944030671150892e-07,0.013746097163421653,0.09356624106795271,0.19031293954720038,0.22076096606566634,0.2572115623064769,0.30880278559137625,0.548513483253043,0.18629175604087644,0.2153855389983039,0.25129864466475216,0.30010902214190704,0.5177756540725716,,,,,,,,,,,,,,1215.4480837359617,-5.174828954033528e-15,3.0232934998462025e-17,0.0
18,6.002377061345256e-20,1.1493526183936228e-19,1.824619545631165e-19,2.6934856666545676e-19,3.9199514587271566e-19,0.0,0.0,0.0,6.989585550416039e-30,2.6912629135567963e-20,1.4541629454734141e-18,2.6002680141806824e-18,4.060990735566932e-18,6.342253105547585e-18,1.3932676367882398e-17,1.4094852529374391e-18,2.5650932218517313e-18,4.022155311699527e-18,6.26119996702546e-18,1.3339296891217678e-17,0.017940923051790274,0.028535808600519443,0.043686924938604654,0.06613897338232702,0.10846588253193094,0.0,0.0,0.0,2.0342357192716967e-12,0.009922477300481085,0.18716590928767649,0.21651693589085044,0.2523176491620328,0.3016393147285049,0.4859062578089512,0.18298398449391873,0.21126222742409181,0.24612939554539337,0.292799611204527,0.43127749199312193,,,,,,,,,,,,,,1215.501568447394,-4.402798138641175e-15,1.9315994960512256e-16,0.0
19,4.670163328825292e-20,8.775195025418517e-20,1.381297701304839e-19,2.0414692918166585e-19,3.043020704378626e-19,0.0,0.0,0.0,0.0,5.643698823128455e-35,1.4511285789274128e-18,2.5902793436762315e-18,4.047672213639429e-18,6.33794779352391e-18,1.477308108263166e-17,1.4260632632046802e-18,2.5668760361321282e-18,4.015091285151324e-18,6.263785557454321e-18,1.4327985805420303e-17,0.013705989824802398,0.02157055612302296,0.03301771356845863,0.05025580203990074,0.08251930240303401,0.0,0.0,0.0,0.0,2.4679019703509604e-17,0.18455392641124305,0.21312398697286009,0.24827520744713527,0.2958252087248536,0.4319469787079127,0.1802868356188798,0.20755121871615095,0.2418673233275208,0.2866902414656713,0.3685813947063992,,,,,,,,,,,,,,1215.5550531588262,-1.2256157726967024e-15,6.766375921937493e-15,0.0
